Date,Market,Arrival(q),Price Minimum (Rs/q),Price Maximum (Rs/q),Modal Price (Rs/q)
02/Jan/2017,ABOHAR(PB),200,750,1000,850
02/Jan/2017,AGRA(UP),2850,600,925,850
03/Jan/2017,AGRA(UP),2950,800,900,840
04/Jan/2017,AGRA(UP),3400,780,900,830
06/Jan/2017,AGRA(UP),3800,750,850,800
07/Jan/2017,AGRA(UP),3700,750,850,810
09/Jan/2017,AGRA(UP),3300,800,900,840
10/Jan/2017,AGRA(UP),3500,750,880,820
11/Jan/2017,AGRA(UP),3150,800,900,840
12/Jan/2017,AGRA(UP),3100,800,900,850
13/Jan/2017,AGRA(UP),3200,600,900,820
16/Jan/2017,AGRA(UP),3480,700,900,800
17/Jan/2017,AGRA(UP),1500,370,470,410
18/Jan/2017,AGRA(UP),3600,850,850,850
19/Jan/2017,AGRA(UP),3200,750,1000,875
20/Jan/2017,AGRA(UP),3500,600,900,840
21/Jan/2017,AGRA(UP),3000,600,910,870
23/Jan/2017,AGRA(UP),2850,830,920,880
25/Jan/2017,AGRA(UP),3150,750,850,800
27/Jan/2017,AGRA(UP),3150,770,860,810
28/Jan/2017,AGRA(UP),3050,820,820,820
30/Jan/2017,AGRA(UP),3000,800,880,830
31/Jan/2017,AGRA(UP),2930,800,900,840
02/Feb/2017,AGRA(UP),2850,800,900,850
03/Feb/2017,AGRA(UP),2750,810,900,860
04/Feb/2017,AGRA(UP),2900,850,850,850
06/Feb/2017,AGRA(UP),2800,800,900,860
07/Feb/2017,AGRA(UP),2950,400,900,850
08/Feb/2017,AGRA(UP),2900,800,900,860
10/Feb/2017,AGRA(UP),2910,800,900,860
13/Feb/2017,AGRA(UP),3000,850,850,850
14/Feb/2017,AGRA(UP),2900,600,980,900
15/Feb/2017,AGRA(UP),2780,600,980,910
16/Feb/2017,AGRA(UP),3030,850,950,900
17/Feb/2017,AGRA(UP),2800,600,980,920
18/Feb/2017,AGRA(UP),3000,850,960,910
20/Feb/2017,AGRA(UP),3050,800,900,860
21/Feb/2017,AGRA(UP),2950,820,950,890
22/Feb/2017,AGRA(UP),2780,900,900,900
23/Feb/2017,AGRA(UP),2990,850,950,890
25/Feb/2017,AGRA(UP),3150,800,950,880
27/Feb/2017,AGRA(UP),3250,750,850,800
28/Feb/2017,AGRA(UP),3110,800,900,840
02/Mar/2017,AGRA(UP),3300,500,900,850
03/Mar/2017,AGRA(UP),3400,800,900,840
04/Mar/2017,AGRA(UP),3200,750,850,800
06/Mar/2017,AGRA(UP),2950,800,950,880
07/Mar/2017,AGRA(UP),3050,800,900,860
08/Mar/2017,AGRA(UP),3380,800,900,850
09/Mar/2017,AGRA(UP),3450,800,900,840
10/Mar/2017,AGRA(UP),2700,800,920,840
15/Mar/2017,AGRA(UP),2350,800,950,880
16/Mar/2017,AGRA(UP),3550,800,900,860
17/Mar/2017,AGRA(UP),3640,800,900,840
18/Mar/2017,AGRA(UP),3600,800,900,850
20/Mar/2017,AGRA(UP),3850,800,900,840
21/Mar/2017,AGRA(UP),3800,800,900,850
22/Mar/2017,AGRA(UP),3700,820,950,880
23/Mar/2017,AGRA(UP),3480,890,890,890
24/Mar/2017,AGRA(UP),3630,820,950,880
25/Mar/2017,AGRA(UP),3700,800,900,860
27/Mar/2017,AGRA(UP),4020,800,900,850
28/Mar/2017,AGRA(UP),4100,800,900,840
30/Mar/2017,AGRA(UP),3700,800,950,870
31/Mar/2017,AGRA(UP),3820,800,920,860
03/Apr/2017,AGRA(UP),3980,810,950,880
06/Apr/2017,AGRA(UP),3950,800,920,870
07/Apr/2017,AGRA(UP),2330,800,900,860
10/Apr/2017,AGRA(UP),3850,850,950,890
12/Apr/2017,AGRA(UP),4250,850,960,900
13/Apr/2017,AGRA(UP),4150,850,950,920
15/Apr/2017,AGRA(UP),4450,850,950,900
18/Apr/2017,AGRA(UP),4790,800,920,870
19/Apr/2017,AGRA(UP),4700,800,950,880
20/Apr/2017,AGRA(UP),4600,850,950,890
21/Apr/2017,AGRA(UP),4900,800,950,880
22/Apr/2017,AGRA(UP),5000,800,900,860
24/Apr/2017,AGRA(UP),4150,800,950,870
25/Apr/2017,AGRA(UP),4150,800,950,875
26/Apr/2017,AGRA(UP),4010,790,960,880
27/Apr/2017,AGRA(UP),4100,780,920,860
28/Apr/2017,AGRA(UP),4150,750,900,850
02/Jan/2017,AHMEDABAD(GUJ),7240,500,850,700
03/Jan/2017,AHMEDABAD(GUJ),6737,500,800,700
04/Jan/2017,AHMEDABAD(GUJ),6527,500,900,800
05/Jan/2017,AHMEDABAD(GUJ),5478,500,800,700
06/Jan/2017,AHMEDABAD(GUJ),6396,500,850,700
07/Jan/2017,AHMEDABAD(GUJ),8065,400,800,700
09/Jan/2017,AHMEDABAD(GUJ),9626,400,800,700
10/Jan/2017,AHMEDABAD(GUJ),6920,400,750,600
11/Jan/2017,AHMEDABAD(GUJ),8786,500,750,650
12/Jan/2017,AHMEDABAD(GUJ),10482,400,800,650
13/Jan/2017,AHMEDABAD(GUJ),10424,400,750,600
16/Jan/2017,AHMEDABAD(GUJ),7210,400,900,700
17/Jan/2017,AHMEDABAD(GUJ),1165,200,700,450
18/Jan/2017,AHMEDABAD(GUJ),8477,450,800,700
19/Jan/2017,AHMEDABAD(GUJ),7714,400,750,600
20/Jan/2017,AHMEDABAD(GUJ),8532,400,750,600
21/Jan/2017,AHMEDABAD(GUJ),10482,400,750,600
23/Jan/2017,AHMEDABAD(GUJ),9205,400,750,600
24/Jan/2017,AHMEDABAD(GUJ),9008,400,700,600
25/Jan/2017,AHMEDABAD(GUJ),8684,400,700,600
27/Jan/2017,AHMEDABAD(GUJ),7788,400,600,550
28/Jan/2017,AHMEDABAD(GUJ),6517,300,650,500
30/Jan/2017,AHMEDABAD(GUJ),7111,400,700,600
31/Jan/2017,AHMEDABAD(GUJ),5718,350,650,500
01/Feb/2017,AHMEDABAD(GUJ),4807,500,900,800
02/Feb/2017,AHMEDABAD(GUJ),7465,400,900,700
03/Feb/2017,AHMEDABAD(GUJ),5571,500,900,700
04/Feb/2017,AHMEDABAD(GUJ),6035,600,900,800
06/Feb/2017,AHMEDABAD(GUJ),8219,500,900,750
07/Feb/2017,AHMEDABAD(GUJ),7263,500,900,800
08/Feb/2017,AHMEDABAD(GUJ),8122,500,900,750
09/Feb/2017,AHMEDABAD(GUJ),9275,500,900,800
10/Feb/2017,AHMEDABAD(GUJ),7170,500,900,800
11/Feb/2017,AHMEDABAD(GUJ),11256,500,900,800
13/Feb/2017,AHMEDABAD(GUJ),9782,600,900,800
14/Feb/2017,AHMEDABAD(GUJ),6362,500,900,800
15/Feb/2017,AHMEDABAD(GUJ),6391,600,900,800
16/Feb/2017,AHMEDABAD(GUJ),6296,600,900,800
17/Feb/2017,AHMEDABAD(GUJ),6185,600,900,800
18/Feb/2017,AHMEDABAD(GUJ),6182,500,900,750
20/Feb/2017,AHMEDABAD(GUJ),7479,500,900,700
21/Feb/2017,AHMEDABAD(GUJ),5624,600,900,800
22/Feb/2017,AHMEDABAD(GUJ),5974,500,900,700
23/Feb/2017,AHMEDABAD(GUJ),5989,600,900,800
25/Feb/2017,AHMEDABAD(GUJ),10356,600,950,800
27/Feb/2017,AHMEDABAD(GUJ),10350,400,950,650
28/Feb/2017,AHMEDABAD(GUJ),6774,600,900,800
01/Mar/2017,AHMEDABAD(GUJ),5724,400,650,550
02/Mar/2017,AHMEDABAD(GUJ),7654,400,650,550
03/Mar/2017,AHMEDABAD(GUJ),8732,400,700,600
04/Mar/2017,AHMEDABAD(GUJ),8720,450,870,650
06/Mar/2017,AHMEDABAD(GUJ),14021,350,700,550
07/Mar/2017,AHMEDABAD(GUJ),7914,300,700,500
08/Mar/2017,AHMEDABAD(GUJ),5626,400,700,550
09/Mar/2017,AHMEDABAD(GUJ),7202,400,700,600
10/Mar/2017,AHMEDABAD(GUJ),8010,400,850,600
11/Mar/2017,AHMEDABAD(GUJ),7668,400,600,500
14/Mar/2017,AHMEDABAD(GUJ),6669,350,600,500
15/Mar/2017,AHMEDABAD(GUJ),6031,250,600,450
16/Mar/2017,AHMEDABAD(GUJ),6174,350,600,500
17/Mar/2017,AHMEDABAD(GUJ),6843,350,600,500
18/Mar/2017,AHMEDABAD(GUJ),7733,400,700,600
21/Mar/2017,AHMEDABAD(GUJ),13131,350,650,550
22/Mar/2017,AHMEDABAD(GUJ),9246,350,650,500
23/Mar/2017,AHMEDABAD(GUJ),8106,300,650,500
24/Mar/2017,AHMEDABAD(GUJ),7214,300,650,500
25/Mar/2017,AHMEDABAD(GUJ),8230,300,700,500
27/Mar/2017,AHMEDABAD(GUJ),11556,300,650,500
28/Mar/2017,AHMEDABAD(GUJ),5885,300,650,500
29/Mar/2017,AHMEDABAD(GUJ),5880,350,700,500
30/Mar/2017,AHMEDABAD(GUJ),8131,350,600,500
31/Mar/2017,AHMEDABAD(GUJ),8130,350,800,650
01/Apr/2017,AHMEDABAD(GUJ),3463,350,700,550
03/Apr/2017,AHMEDABAD(GUJ),6807,400,600,550
04/Apr/2017,AHMEDABAD(GUJ),5567,400,700,600
05/Apr/2017,AHMEDABAD(GUJ),8910,450,800,600
06/Apr/2017,AHMEDABAD(GUJ),11549,400,700,550
07/Apr/2017,AHMEDABAD(GUJ),8035,400,700,600
08/Apr/2017,AHMEDABAD(GUJ),9003,350,650,550
10/Apr/2017,AHMEDABAD(GUJ),11265,400,700,600
11/Apr/2017,AHMEDABAD(GUJ),8648,400,700,600
12/Apr/2017,AHMEDABAD(GUJ),6807,300,700,500
13/Apr/2017,AHMEDABAD(GUJ),7865,400,650,550
15/Apr/2017,AHMEDABAD(GUJ),13338,400,650,550
17/Apr/2017,AHMEDABAD(GUJ),8984,300,600,500
18/Apr/2017,AHMEDABAD(GUJ),6443,400,600,500
19/Apr/2017,AHMEDABAD(GUJ),7484,400,650,550
20/Apr/2017,AHMEDABAD(GUJ),5881,500,750,650
21/Apr/2017,AHMEDABAD(GUJ),6349,400,600,550
22/Apr/2017,AHMEDABAD(GUJ),6522,350,650,500
24/Apr/2017,AHMEDABAD(GUJ),11275,400,600,550
26/Apr/2017,AHMEDABAD(GUJ),9679,400,650,550
27/Apr/2017,AHMEDABAD(GUJ),8030,350,600,500
28/Apr/2017,AHMEDABAD(GUJ),8020,500,700,620
16/Jan/2017,AHMEDNAGAR(MS),48516,100,850,700
23/Jan/2017,AHMEDNAGAR(MS),38122,100,875,700
11/Feb/2017,AHMEDNAGAR(MS),20014,100,800,700
13/Feb/2017,AHMEDNAGAR(MS),24983,100,850,700
18/Feb/2017,AHMEDNAGAR(MS),22886,200,850,700
09/Mar/2017,AHMEDNAGAR(MS),34405,200,750,600
23/Mar/2017,AHMEDNAGAR(MS),36140,200,700,575
25/Mar/2017,AHMEDNAGAR(MS),28420,200,715,575
08/Apr/2017,AHMEDNAGAR(MS),38734,200,700,600
24/Apr/2017,AHMEDNAGAR(MS),29126,100,625,525
