S No.,States/Union Territory,Name of the District,"Number of Sub Centres - (As on 31st March, 2016)","Number of PHCs - (As on 31st March, 2016)","Number of CHCs - (As on 31st March, 2016)","Number of Sub Divisional Hospital - (As on 31st March, 2016)","Number of District Hospital - (As on 31st March, 2016)"
1,A & N Islands,Nicobar,41,4,1,0,1
1,A & N Islands,North & Middle Andaman,43,8,2,0,1
1,A & N Islands,South Andaman,39,10,1,0,1
1,A & N Islands,Total,123,22,4,0,3
2,Andhra Pradesh,Anantapur,609,80,15,3,0
2,Andhra Pradesh,Chittoor,653,94,12,6,1
2,Andhra Pradesh,Kadapa,462,70,12,1,1
2,Andhra Pradesh,East Godavari,837,119,26,3,1
2,Andhra Pradesh,Guntur,689,82,17,2,1
2,Andhra Pradesh,Krishna,609,81,12,2,1
2,Andhra Pradesh,Kurnool,576,83,18,1,1
2,Andhra Pradesh,Nellore,481,74,14,2,0
2,Andhra Pradesh,Prakasam,555,85,14,3,0
2,Andhra Pradesh,Srikakulam,488,76,16,2,0
2,Andhra Pradesh,Visakhapatnam,573,86,11,2,0
2,Andhra Pradesh,Vizianagaram,470,66,11,1,1
2,Andhra Pradesh,West Godavari,657,79,15,3,1
2,Andhra Pradesh,Total,7659,1075,193,31,8
3,Arunachal Pradesh,Anjaw,44,7,5,0,1
3,Arunachal Pradesh,Changlang,35,8,5,0,1
3,Arunachal Pradesh,Dibang Valley,10,1,0,0,1
3,Arunachal Pradesh,East Kameng,51,11,3,0,1
3,Arunachal Pradesh,East Siang,40,15,5,0,1
3,Arunachal Pradesh,Lohit,29,9,5,0,1
3,Arunachal Pradesh,Lower Dibang Valley,19,6,4,0,1
3,Arunachal Pradesh,Lower Subansiri,35,8,3,0,1
3,Arunachal Pradesh,Longding,18,3,3,0,1
3,Arunachal Pradesh,Papum Pare,56,14,3,0,2
3,Arunachal Pradesh,Tawang,15,5,2,0,1
3,Arunachal Pradesh,Tirap,18,8,1,0,1
3,Arunachal Pradesh,Upper Siang,14,2,4,0,1
3,Arunachal Pradesh,Upper Subansiri,58,15,5,0,1
3,Arunachal Pradesh,West Kameng,26,5,5,0,1
3,Arunachal Pradesh,West Siang,62,13,7,0,1
3,Arunachal Pradesh,Kurug Kumey,58,13,3,0,1
3,Arunachal Pradesh,Total,588,143,63,0,18
4,Assam,Barpeta,264,51,6,1,1
4,Assam,Bongaigaon,84,30,3,0,1
4,Assam,Baksa,157,41,5,0,1
4,Assam,Cachar,270,33,5,0,1
4,Assam,Chirang,86,25,3,0,1
4,Assam,Darrang,163,30,6,0,1
4,Assam,Dhemaji,98,22,4,0,1
4,Assam,Dhubri,246,44,8,2,1
4,Assam,Dibrugarh,231,30,7,0,0
4,Assam,Goalpara,151,41,5,0,1
4,Assam,Golaghat,144,40,4,1,1
4,Assam,Hailakandi,105,13,3,0,1
4,Assam,Jorhat,144,44,5,2,0
4,Assam,Kamrup (Rural),280,71,11,1,1
4,Assam,Kamrup (Metro),51,25,3,0,1
4,Assam,Karbi Anglong,145,46,5,1,1
4,Assam,Karimganj,218,29,5,0,1
4,Assam,Kokrajhar,161,45,4,1,1
4,Assam,Lakhimpur,156,30,8,1,1
4,Assam,Morigaon,123,36,5,0,1
4,Assam,Nagaon,354,80,15,0,1
4,Assam,Nalbari,121,47,9,0,1
4,Assam,N.C.HILLS (Dima Hasao),65,11,2,0,1
4,Assam,Sivasagar,219,45,4,2,1
4,Assam,Sonitpur,275,58,7,2,1
4,Assam,Tinsukia,164,23,6,0,1
4,Assam,Udalguri,146,24,3,0,1
4,Assam,Total,4621,1014,151,14,25
5,Bihar,Araria,199,39,2,1,1
5,Bihar,Aurangabad,216,68,6,1,1
5,Bihar,Arwal,64,33,0,0,1
5,Bihar,Banka,265,42,4,0,1
5,Bihar,Begusarai,287,40,2,4,1
5,Bihar,Bhagalpur,258,70,4,2,1
5,Bihar,Bhojpur,302,40,4,2,1
5,Bihar,Buxar,161,39,0,1,1
5,Bihar,Darbhanga,259,62,8,1,0
5,Bihar,Gaya,440,63,10,2,1
5,Bihar,Gopalganj,186,31,8,1,1
5,Bihar,Jamui,279,34,6,0,1
5,Bihar,Jahanabad,92,37,2,0,1
5,Bihar,Kaimur (Bhabua),197,28,4,1,1
5,Bihar,Katihar,345,59,4,2,1
5,Bihar,Khagaria,171,32,1,0,1
5,Bihar,Kishanganj,136,16,1,0,1
5,Bihar,Lakhisarai,102,19,1,0,1
5,Bihar,Madhepura,272,46,1,1,1
5,Bihar,Madhubani,429,90,4,4,1
5,Bihar,Munger,154,28,2,2,1
5,Bihar,Muzaffarpur,480,92,9,0,1
5,Bihar,Nalanda,374,63,3,2,1
5,Bihar,Nawada,325,48,2,1,1
5,Bihar,Pashchim Champaran,368,49,2,2,1
5,Bihar,Patna,387,90,4,4,0
5,Bihar,Purba Champaran,327,70,12,3,1
5,Bihar,Purnia,334,52,2,3,1
5,Bihar,Rohtas,186,47,6,2,1
5,Bihar,Saharsa,152,35,1,1,1
5,Bihar,Samastipur,362,59,8,4,1
5,Bihar,Saran,413,57,9,2,1
5,Bihar,Sheikhpura,85,23,1,0,1
5,Bihar,Sheohar,29,15,0,0,1
5,Bihar,Sitamarhi,212,50,5,2,1
5,Bihar,Siwan,367,61,9,1,1
5,Bihar,Supaul,178,31,2,1,1
5,Bihar,Vaishali,336,44,2,2,1
